Забайкальское УГМС;;;;;;;;;
Сведения об установке на метеосети АМК на 01.01.2013;;;;;;;;;
№;Название НП;Субъект РФ;Коорд. номер;Син. индекс;Вид НП;Сокращенный;Сокращенный;Сокращенный;Сокращенный
;;;;;;заголовок;заголовок;заголовок;заголовок
;;;;;;бюллетеня;бюллетеня;бюллетеня;бюллетеня
;;;;;;при возн. нал. усил;при отмене;при возн. нал. усил;при отмене
;;;;;;ОЯ;ОЯ;НГЯ;НГЯ
45;Телемба;Бурят;5273131;30751;АМС;WWRA45 RUUU;WORA45 RUUU;VVRA45 RUUU;VORA45 RUUU
46;Торей;Бурят;5050481;30916;АМС;WWRA46 RUUU;WORA46 RUUU;VVRA46 RUUU;VORA46 RUUU
47;Усть-Заза;Бурят;5321171;30649;АМС;WWRA47 RUUU;WORA47 RUUU;VVRA47 RUUU;VORA47 RUUU
;;;;;;;;;
1;Чита;Заб.кр;5211351;30758;ОГМС;WWRA01 RUZU;WORA01 RUZU;VVRA01 RUZU;VORA01 RUZU
2;Агинское;Заб.кр;5111461;30859;М-2;WWRA02 RUZU;WORA02 RUZU;VVRA02 RUZU;VORA02 RUZU
3;Акша;Заб.кр;5031331;30957;М-2;WWRA03 RUZU;WORA03 RUZU;VVRA03 RUZU;VORA03 RUZU
4;Александровский Завод;Заб.кр;5091791;30971;М-2;WWRA04 RUZU;WORA04 RUZU;VVRA04 RUZU;VORA04 RUZU
5;Амазар;Заб.кр;5392091;30682;М-2;WWRA05 RUZU;WORA05 RUZU;VVRA05 RUZU;VORA05 RUZU
6;Балей;Заб.кр;5161671;30866;М-2;WWRA06 RUZU;WORA06 RUZU;VVRA06 RUZU;VORA06 RUZU
7;Батакан;Заб.кр;5211881;30778;М-3;WWRA07 RUZU;WORA07 RUZU;VVRA07 RUZU;VORA07 RUZU
8;Беклемишево;Заб.кр;5211271;30757;М-2;WWRA08 RUZU;WORA08 RUZU;VVRA08 RUZU;VORA08 RUZU
9;Большая Лепринда;Заб.кр;5671761;30374;М-2;WWRA09 RUZU;WORA09 RUZU;VVRA09 RUZU;VORA09 RUZU
10;Борзя;Заб.кр;5041651;30965;ОГМС;WWRA10 RUZU;WORA10 RUZU;VVRA10 RUZU;VORA10 RUZU
11;Букукун;Заб.кр;4951111;30948;М-3;WWRA11 RUZU;WORA11 RUZU;VVRA11 RUZU;VORA11 RUZU
12;Бургень;Заб.кр;5241381;30755;М-3;WWRA12 RUZU;WORA12 RUZU;VVRA12 RUZU;VORA12 RUZU
13;Горбица;Заб.кр;5311921;30679;М-3;WWRA13 RUZU;WORA13 RUZU;VVRA13 RUZU;VORA13 RUZU
14;Гуля;Заб.кр;5472091;30585;М-3;WWRA14 RUZU;WORA14 RUZU;VVRA14 RUZU;VORA14 RUZU
15;Дарасун;Заб.кр;5121371;30858;М-3;WWRA15 RUZU;WORA15 RUZU;VVRA15 RUZU;VORA15 RUZU
16;Доно;Заб.кр;5091861;30972;М-2;WWRA16 RUZU;WORA16 RUZU;VVRA16 RUZU;VORA16 RUZU
17;Дульдурга;Заб.кр;5071361;30952;М-2;WWRA17 RUZU;WORA17 RUZU;VVRA17 RUZU;VORA17 RUZU
18;Забайкальск;Заб.кр;4961731;30968;М-2;WWRA18 RUZU;WORA18 RUZU;VVRA18 RUZU;VORA18 RUZU
19;Зилово;Заб.кр;5311751;30669;М-2;WWRA19 RUZU;WORA19 RUZU;VVRA19 RUZU;VORA19 RUZU
20;Зюльзя;Заб.кр;5261621;30765;М-2;WWRA20 RUZU;WORA20 RUZU;VVRA20 RUZU;VORA20 RUZU
21;Кайластуй;Заб.кр;4981841;30978;М-2;WWRA21 RUZU;WORA21 RUZU;VVRA21 RUZU;VORA21 RUZU
22;Калакан;Заб.кр;5521681;30469;М-2;WWRA22 RUZU;WORA22 RUZU;VVRA22 RUZU;VORA22 RUZU
23;Карымская ;Заб.кр;5161431;30853;ЦРС;WWRA23 RUZU;WORA23 RUZU;VVRA23 RUZU;VORA23 RUZU
24;Катугино;Заб.кр;5611921;30379;М-3;WWRA24 RUZU;WORA24 RUZU;VVRA24 RUZU;VORA24 RUZU
25;Краснокаменск;Заб.кр;5011811;30977;М-3;WWRA25 RUZU;WORA25 RUZU;VVRA25 RUZU;VORA25 RUZU
26;Красный Чикой;Заб.кр;5040881;30935;ОГМС;WWRA26 RUZU;WORA26 RUZU;VVRA26 RUZU;VORA26 RUZU
27;Ксеньевское (Ксеньевка);Заб.кр;5351871;30675;М-3;WWRA27 RUZU;WORA27 RUZU;VVRA27 RUZU;VORA27 RUZU
28;Кыкер;Заб.кр;5321581;30667;М-3;WWRA28 RUZU;WORA28 RUZU;VVRA28 RUZU;VORA28 RUZU
29;Кыра;Заб.кр;4961191;30949;М-2;WWRA29 RUZU;WORA29 RUZU;VVRA29 RUZU;VORA29 RUZU
30;Мангут;Заб.кр;4971271;30954;М-2;WWRA30 RUZU;WORA30 RUZU;VVRA30 RUZU;VORA30 RUZU
31;Менза;Заб.кр;4940891;30938;М-2;WWRA31 RUZU;WORA31 RUZU;VVRA31 RUZU;VORA31 RUZU
32;Могзон;Заб.кр;5171191;30843;М-3;WWRA32 RUZU;WORA32 RUZU;VVRA32 RUZU;VORA32 RUZU
33;Могоча;Заб.кр;5371981;30673;ОГМС;WWRA33 RUZU;WORA33 RUZU;VVRA33 RUZU;VORA33 RUZU
34;Моклакан;Заб.кр;5481891;30552;М-3;WWRA34 RUZU;WORA34 RUZU;VVRA34 RUZU;VORA34 RUZU
35;Нерчинск;Заб.кр;5201651;30768;М-2;WWRA35 RUZU;WORA35 RUZU;VVRA35 RUZU;VORA35 RUZU
36;Нерчинский Завод;Заб.кр;5131961;30879;М-2;WWRA36 RUZU;WORA36 RUZU;VVRA36 RUZU;VORA36 RUZU
37;Нижний Цасучей;Заб.кр;5061511;30964;М-2;WWRA37 RUZU;WORA37 RUZU;VVRA37 RUZU;VORA37 RUZU
38;Оловянная;Заб.кр;5091561;30961;М-2;WWRA38 RUZU;WORA38 RUZU;VVRA38 RUZU;VORA38 RUZU
39;Петровский Завод;Заб.кр;5130891;30838;М-2;WWRA39 RUZU;WORA39 RUZU;VVRA39 RUZU;VORA39 RUZU
40;Покровка;Заб.кр;5342161;30688;М-3;WWRA40 RUZU;WORA40 RUZU;VVRA40 RUZU;VORA40 RUZU
41;Приаргунск;Заб.кр;5031911;30975;М-2;WWRA41 RUZU;WORA41 RUZU;VVRA41 RUZU;VORA41 RUZU
42;Соловьевск;Заб.кр;4991581;30967;М-2;WWRA42 RUZU;WORA42 RUZU;VVRA42 RUZU;VORA42 RUZU
43;Средний Калар;Заб.кр;5591751;30471;М-2;WWRA43 RUZU;WORA43 RUZU;VVRA43 RUZU;VORA43 RUZU
