1;Багдарин;30554;ОГМС
2;Баргузин;30636;Г-1
3;Замакта;30741;М-2
4;Кабанск;30729;У
5;Кырен;30806;М-2
6;Кяхта;30925;Г-2
7;Мухоршибирь;30837;М-2
8;Нижнеангарск;30433;Г-1
9;Новоселенгинск;30829;М-2
10;Орлик;29999;М-2
11;Романовка;30650;М-2
12;Сосново-Озерское;30745;О
13;Таксимо;30356;Г-1
14;Троицкий Прииск;30555;М-2
15;Уакит;30455;М-2
16;Улан-Удэ;30823;ОГМС
17;Уоян;30348;М-3
18;Усть-Баргузин;30635;АЭ
19;Хамнигадайская;30929;М-3
20;Хоринск;30739;М-2
21;Цакир;30915;М-2
